run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
870,.0122581,-.0041032,-.0048362,-.0026102,.0008566,.0027511,-.0004335,.0001858,.0001416,-.0000158,.0001271,-.0000516,.0043162,-.0000464
871,.0109698,-.0024666,-.0044632,-.0023814,.0009199,-.003633,-.0004991,.0001698,.0001678,-.0000458,9.06e-06,.0000777,-.0010545,-.0001206
872,.0114085,-.000184,-.0039846,.0017986,.0004163,-.0014472,-.0004639,.0000917,.0001651,-.0001754,.0001327,.0000743,.0080075,-.0001754
873,.0069361,-.0058567,-.0071263,-.0026126,-.002202,.0035993,-.0003751,.0002218,.0000929,.0000349,.0001156,-.0000968,-.0072621,-6.71e-06
874,.0073551,-.0016843,-.006498,-.0003961,.0016474,-.0011491,-.0004885,.0002581,.0000505,-.0000483,.0000877,-.0000112,-.0007249,-.0001517
875,.015592,-.0067998,-.0044647,.0014198,-.0004783,.0008054,-.0005845,.0003153,.000066,-.0002404,.0001492,-.0000507,.0060745,-.0003451
876,.0066748,-.0025045,-.0155239,-.0003329,-.0054337,.0041551,-.0003911,.0001391,.0002813,-.0001635,.0002439,-.0001409,-.0129651,-.0000312
877,.0114039,-.0039087,-.0069731,-.002236,.0005574,-.0019768,-.0006528,.0002663,.000216,-.0000481,.0001236,6.58e-06,-.0031332,-.0000884
878,.0170448,-.0089465,-.0028123,-.0036792,-.0010347,.0093939,-.0006777,.0004046,.0000743,1.60e-06,.0001036,-.0003155,.009966,-.0004091
879,.0037117,-.0068904,-.0026174,-.0027851,-.0022283,.0059461,-.0001924,.0003427,.0000273,-.0000897,.000178,-.0002246,-.0048634,.0000413
880,.0105432,-.0008458,-.0010638,-.0001798,-.0005976,-.0005584,-.0004183,.0001275,-.0000493,-.0000562,.0001202,-.0000207,.0072979,-.0002968
881,.0027368,-.0065577,-.0144414,-.0023321,-.0049305,.0033756,-.0002158,.0002496,.0002573,-.00011,.0001851,-.0001188,-.0221492,.0002474
882,.0036884,-.0100473,.0033339,-.006005,-.0023381,.0099302,-.0003277,.0004628,-.0001413,.0000499,.0000994,-.0003943,-.0014378,-.0002512
883,.0053993,-.0079957,-.0119165,-.005493,-.0073228,.0033486,-.0003678,.0002831,.0002955,.0000737,.0003055,-.0000752,-.0239802,.0005148
884,.0014296,-.0124913,-.0032117,-.0037807,-.0063961,.0064875,-.0001539,.0004997,.0000756,.000012,.0002026,-.0002358,-.0179626,.0004001
885,.0114051,-.0048324,-.0069845,-.0044298,-.0061689,.0029629,-.000592,.0002168,.0001978,-.00002,.0003454,-.0001008,-.0080476,.0000471
886,.0082152,-.0034285,-.0066834,.001318,-.0010765,.0023763,-.0005064,.0002149,.0001787,-.0000928,.0000237,-.0001728,.0007211,-.0003546
887,-.0027037,-.0020513,-.0075093,.0011252,-.0035546,-.0007311,-.0000814,.000173,.0001092,-.000131,.0002107,-.0000719,-.0154249,.0002086
888,.0078926,-.002932,-.0036096,-.0073537,.0015763,-.0017508,-.0003335,.0001419,.000103,.0001765,-.0000438,.0000343,-.0061771,.0000782
889,.0062419,-.0038197,-.0078586,-.0015025,-.0015461,.0005895,-.0004177,.0001978,.0000619,-.0000491,.0000958,-.0000162,-.0078956,-.0001275
890,.0087342,-.0024271,-.0091395,-.0001203,.000666,.0028618,-.0004591,.0002053,.0001426,-.0000414,.0000651,-.0000963,.000575,-.0001838
891,.0099843,-.0027759,-.0107286,-.0002992,-.0027825,.0020764,-.0004104,.0000777,.0003177,-.0000704,.0002217,-.0001178,-.0045256,.0000186
892,.0125895,-.0028784,-.0057058,.0012879,.0018778,.0053445,-.0004543,.0002054,.0001115,-.0001442,.0000939,-.000218,.0125156,-.0004057
893,.00974,-.0081361,-.0074106,-.0019138,-.0022447,.0090229,-.0005864,.0003661,.0001315,-.0000342,.00006,-.0003056,-.0009423,-.0003687
894,.0086588,-.0021862,-.0037045,-.0004557,-.0022678,.0010684,-.0004284,.0002525,.0000133,-.0001814,.0002889,-.0000336,.0011131,-.0000887
895,.0098538,-.0017873,-.003024,.0004226,-.0000988,-.008996,-.0005957,.0000736,.0000296,-.0001244,.0000387,.0002381,-.0036297,-.0003401
896,.0115744,-.0026272,-.0009754,.0114122,.0014666,.0024455,-.0005304,.000172,.0000501,-.0004315,.0001769,-.0000869,.0232961,-.0006497
897,.0108771,-.0046904,-.0087112,-.0010796,.0000418,.0087612,-.0004654,.0002646,.0002271,-.0001538,.0001032,-.000238,.0051989,-.0002623
898,.0051723,-.010318,-.0068258,-.0026143,-.0061762,.0063678,-.0002826,.0003974,.000078,-.0000218,.0003235,-.0001983,-.0143941,.0002962
