run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
689,.011725,.0182278,-.0086974,-.0046203,-.0127508,-.0143543,-.0031793,-.0077002,-.0041222,.0108049,.0030985,.0117709,-.0004297,-.0005876,.0002987,.0001869,.0003702,.0002214,-3.38e-06,-.000038,.0000723,-.0000175,-.0002376,-.0002778,-.0139262,.0141288,.0000707,-.0005126
690,.0107942,.0006335,-.006341,.0069531,-.0076363,-.0151302,-.0010773,.0245168,.0017209,.0100309,.0055431,.01175,-.0004521,-.0002137,.0003211,-.0000877,.0002612,.0003097,-.000014,-.000694,7.03e-06,.0001414,-.0001449,-.000279,.0030035,.0387542,-.0000216,-.0008233
691,.0073537,-.0188394,-.0047786,-.0216123,-.0163589,.0159429,-.0007191,.0019348,6.68e-07,.0303421,.0075987,-.0006069,-.000403,.0002872,.0001153,.0004878,.0003383,-.0003077,-.0001003,-.000367,-.0001188,-.0002951,-.0002909,-7.54e-06,-.0069036,.0071611,-.0004595,-.0002023
692,.0050849,.0237855,-.007862,.0101271,-.0025093,-.0158511,-.0005439,.0037223,-.0010095,.0013057,.009009,-.0005342,-.0003236,-.0008799,.0003237,-.0000865,.0000336,.0001483,-.000052,-.0002115,.0000774,.0000634,-.0002976,.000027,.0021692,.0225554,-.0002386,-.0009392
693,.0120677,-.0010783,-.0109484,-.0107598,-.0021981,-.0134905,-.007705,-.0069947,-.0027124,.0154466,.0040281,.0110878,-.0004537,-.0002161,.0003997,.0005189,.0000955,.0001533,1.07e-06,.0000962,-.000083,-.0001875,-.0001929,-.0002296,-.007468,-.0057888,-.0002333,.0001351
694,.0063195,-.007652,-.0050133,-.0082779,-.0004801,.0168582,-.0006051,.0091548,-.0014043,.0226007,.0015763,.0222246,-.0003336,-.0002856,.0002373,.0004847,.0000191,-.0006668,-.0000744,-.0002943,.0000884,-.0004242,-.0001518,-.0004237,.0003929,.0549083,-.000215,-.0016098
695,.0001519,.0120295,-.0131386,.0203954,-.0106996,-.0287899,-.00309,.0244342,.0013888,-.0199149,.0109115,.0216455,-.0001505,-.0004311,.0004587,-.0003297,.0001253,.0005438,-.0000171,-.0006399,-.000109,.0005306,-.0004577,-.0004651,-.0144761,.0297998,-.0001503,-.0007915
696,.0105961,.0079545,-.0058651,-.0115166,-.0053165,-.0123669,-.0010212,-.0058506,.0037349,.0097607,.00596,.0106857,-.0005793,-.0003752,.000296,.0003755,.0001833,.0001882,-.0000325,-.0000319,-.0000137,.0002766,-.0001799,-.0003849,.0080882,-.0013333,-.0003262,.0000482
697,.0081781,.0065924,-.0128848,.00027,-.0103426,-.0228327,-.0063423,-.0127602,.0027301,-.0126101,.0064595,.0149237,-.000231,-.0002019,.0004671,.000178,.0003539,.0005985,.0000229,.0000714,-.0001642,.000563,-.0002191,-.0003173,-.012202,-.0264168,.0002297,.0008918
698,.0086041,.0219891,-.0124863,-.0054916,-.0104831,-.008069,.000017,-.0123294,.0011984,.0071041,.0102676,.0134457,-.0004508,-.0005006,.0004871,.0000975,.0002161,.0001074,-.0001587,.0000512,-.0000523,.0001066,-.0004209,-.0003246,-.0028823,.0166489,-.0003794,-.0004625
699,.0077752,.0027332,-.006038,.0040247,-.0044614,.0075877,-.0061895,.0222779,.000893,.0216802,.0013775,.0156793,-.000274,-.0002776,.0002995,.0001308,-2.52e-06,-.0001933,.0002184,-.000543,.0000192,-.0001765,-.000048,-.0002705,-.0066432,.0739831,.0002126,-.0013301
700,.007576,.0153271,-.0057477,-.0024549,-.0030153,-.0050378,-.0070174,.0057574,.0027789,.0117643,.0021392,.0064155,-.0002996,-.0003945,.0001763,.0000506,-.0000107,.0000114,.0003014,-.000355,-.0001223,-.0000153,-.000031,-.0001129,-.0032864,.0317717,.0000141,-.0008157
701,.0040714,-.0355369,-.0064422,.0096835,-.0068839,.0122252,-.0071725,.0245653,-.0033465,.0163,.0065741,.0056011,-.0002822,.0004627,.0001933,-.0000851,.0001135,-.0003641,.0001835,-.0006605,.0001172,-.0001417,-.0001887,-.0002354,-.0131996,.0328383,.0001366,-.0010241
