run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
301,.0075707,.1200847,-.0002188,-.0027039,4.93e-06,.0000675,-1.15e-09,-1.82e-08
302,.0028308,.0246025,-.0000943,-.0007959,-4.29e-06,.0000641,1.53e-09,-1.43e-08
303,.0098188,.0429109,-.0002615,-.001131,.0000133,.0000371,-5.90e-09,-1.26e-08
304,.0100252,.0662685,-.0002858,-.0017426,1.32e-06,.0000218,1.55e-09,-6.11e-09
305,.0120999,.0742763,-.0004742,-.0018472,.000022,.0000709,-2.22e-09,-2.20e-08
306,.0124486,.0374713,-.0004177,-.0009851,8.56e-06,1.19e-06,-2.91e-09,-4.70e-09
307,.0001684,.0492247,.0000143,-.0013501,.000021,.0000371,-8.58e-09,-1.21e-08
308,.0065707,.0299313,-.0003741,-.0010873,8.10e-06,.0000395,-4.14e-09,-1.30e-08
309,.0105648,.0245241,-.0003415,-.0008207,4.60e-06,.0000491,-1.44e-09,-1.29e-08
310,.0111958,.0497419,-.0003423,-.0012472,-3.00e-06,.0000548,-3.08e-09,-1.43e-08
311,.0076547,.0397501,-.0001606,-.001083,7.63e-06,.0000566,-1.66e-09,-1.76e-08
312,.0100321,.0591973,-.000413,-.00176,-2.87e-06,.0000461,-6.16e-10,-1.17e-08
313,.0124665,.0152843,-.00029,-.0006989,-1.17e-08,.0000404,-2.10e-09,-1.40e-08
314,.0031455,.0065704,-.0001252,-.0003677,.000031,.0000446,-7.02e-09,-1.26e-08
315,-.0030856,.0063822,.0000709,-.0001868,3.20e-06,.0000334,3.65e-10,-1.05e-08
316,.0057471,.0945158,-.0003627,-.0020879,.0000201,.0000454,-5.30e-09,-1.17e-08
317,.0042318,.0161233,-.0001714,-.0005631,-2.01e-06,.0000587,-1.54e-10,-1.77e-08
318,.0069066,.0424119,-.0003437,-.0011015,7.39e-07,.0000555,6.95e-11,-1.40e-08
319,.0096533,.0470085,-.0002774,-.0012884,2.48e-06,.0000361,2.92e-10,-1.26e-08
320,.0166285,.0306542,-.0005867,-.0010018,.0000249,.0000311,-8.47e-09,-1.03e-08
321,.0060704,.052734,-.0001905,-.0013713,.000024,.0000492,-6.67e-09,-1.14e-08
322,.0074281,.0317204,-.0002343,-.0011431,4.19e-06,.0000612,-1.24e-09,-1.79e-08
323,.0058436,.0134282,-.0001705,-.0004388,.0000234,.0000319,-3.03e-09,-1.01e-08
324,.009355,.074373,-.0002396,-.0017046,.0000194,.00005,-6.02e-09,-1.43e-08
325,.0083119,.0241779,-.0002637,-.0006506,1.68e-06,.000051,-4.23e-09,-1.60e-08
326,-.000489,.0265831,-.0000821,-.0008238,6.49e-06,.0000467,-1.07e-09,-1.14e-08
327,.0099758,.0251447,-.0003631,-.0006169,-1.13e-06,.0000578,-2.74e-10,-1.50e-08
328,.004611,.0298508,-.0002742,-.000785,-9.13e-06,.000038,2.11e-09,-1.02e-08
329,.0040617,.1015372,-.0001187,-.0023394,5.46e-06,.0000545,-1.94e-09,-1.43e-08
330,.0070315,.0386584,-.0001914,-.001054,.0000135,.0000503,-2.74e-09,-1.40e-08
331,.0155148,.0449772,-.0005039,-.0010838,-.0000178,.0000523,2.09e-09,-1.32e-08
332,.0087833,.0115086,-.0003273,-.0005137,7.85e-07,.000049,-1.71e-09,-1.52e-08
333,.0128498,.0822061,-.0005298,-.0019676,3.85e-06,.0000429,-2.58e-09,-1.25e-08
334,.005894,.1119846,-.0002577,-.0023853,.0000183,.000086,-6.12e-09,-2.15e-08
335,.0121573,.0689259,-.0004086,-.0017354,-4.14e-06,.0000251,1.53e-10,-9.99e-09
336,.0131355,.0292272,-.0004078,-.0008126,-6.69e-07,.0000392,-1.01e-09,-1.35e-08
337,.0084159,.0185597,-.0001825,-.0006764,.0000139,.0000369,-6.61e-09,-1.24e-08
338,.0094141,.0401065,-.0002828,-.0010856,.0000127,.0000664,-5.14e-09,-1.62e-08
339,.0101012,.0202591,-.0002609,-.0008621,4.13e-06,.0000228,-3.00e-09,-8.37e-09
340,.0005305,.0041592,-.0000579,-.0002804,.0000212,.0000327,-6.55e-09,-9.48e-09
341,.009355,.0467531,-.0004472,-.0012216,5.77e-06,.0000526,-2.31e-09,-1.29e-08
342,.0095996,.0411026,-.0003701,-.0011225,7.96e-06,.0000414,-1.73e-09,-1.03e-08
343,.0097353,.0383172,-.0003297,-.0010903,5.12e-06,.0000404,-2.36e-09,-1.38e-08
344,.0224146,.0328516,-.0007243,-.0009966,.0000145,.0000207,-5.65e-09,-5.43e-09
345,.011122,.0289447,-.0004301,-.0008616,-6.08e-06,.0000292,2.69e-09,-8.58e-09
346,.0013747,.0184837,-.0002109,-.0006075,5.86e-06,8.99e-06,-4.71e-10,-2.67e-09
347,.0080944,.0136126,-.0003568,-.0004708,1.54e-06,.0000593,-1.15e-09,-1.62e-08
