run,temp,temp2,prec,prec2
748,.0116951,-.0004511,9.64e-06,-3.61e-09
749,.0088893,-.0004574,.0000206,-4.42e-09
750,.0206837,-.000666,.0000282,-9.64e-09
751,.0134612,-.0005146,9.49e-06,-3.15e-09
752,.0120734,-.0003759,.0000154,-6.04e-09
753,.0162585,-.0006187,-5.87e-06,5.77e-10
754,.020881,-.0007569,7.64e-08,-1.25e-09
755,.0135554,-.0003964,9.78e-06,-3.05e-09
756,.0131068,-.0004585,.0000109,-3.55e-09
757,.0094464,-.0003493,1.04e-06,-6.82e-10
758,.0117956,-.0004983,9.28e-06,-3.41e-09
759,.0094099,-.0003542,.0000145,-3.89e-09
760,.0125776,-.0005453,.0000179,-4.75e-09
761,.0086379,-.000453,.0000167,-5.23e-09
762,.0169123,-.0004594,2.61e-06,-1.72e-09
763,.0253665,-.00087,7.13e-07,-2.30e-10
764,.0071536,-.0002759,-2.79e-06,-7.49e-10
765,.0062249,-.000317,-8.03e-07,-5.99e-11
766,.0163592,-.0005549,.0000343,-1.10e-08
767,.0146576,-.0004917,.0000253,-4.30e-09
768,.011286,-.0005299,.0000127,-3.48e-09
769,.0149503,-.0005445,.0000135,-5.02e-09
770,.0091995,-.0002917,9.70e-06,-6.83e-09
771,.012223,-.0004741,.0000109,-6.20e-09
772,.0057502,-.0002628,.0000169,-4.12e-09
773,.00447,-.0002821,.0000294,-6.37e-09
774,.0155687,-.0004893,-3.18e-06,-7.03e-10
775,.0057032,-.0002592,.0000202,-6.77e-09
776,.01271,-.0004566,.0000233,-6.63e-09
777,.0211244,-.0006292,.0000142,-6.61e-09
778,.0097467,-.0004992,.0000362,-1.11e-08
779,.003398,-.0001642,.0000243,-7.80e-09
780,.0128607,-.0005259,.0000148,-5.08e-09
781,.0090709,-.0003577,3.75e-06,-2.15e-09
782,.0109371,-.0004065,.0000119,-4.22e-09
783,.0132784,-.0005395,.0000285,-6.84e-09
784,.0154733,-.000591,.0000271,-8.07e-09
785,.0126506,-.0003714,.0000172,-3.74e-09
786,.0121471,-.0004854,.0000309,-8.88e-09
787,.0154721,-.0005709,.0000191,-5.77e-09
788,.0098976,-.0002899,.0000182,-6.16e-09
789,.010819,-.000392,.0000155,-5.67e-09
790,.0127388,-.0004987,.0000143,-8.00e-09
791,.0213422,-.0007921,.0000209,-5.01e-09
792,.0116933,-.0002757,.0000109,-4.93e-09
793,.0132905,-.0006455,.0000157,-4.07e-09
794,.0129287,-.0005962,5.10e-06,-2.55e-09
795,.0108664,-.0004482,.0000158,-4.51e-09
796,.0074281,-.0001724,.0000253,-7.44e-09
797,.009376,-.0003539,.0000167,-4.36e-09
798,.0112746,-.0004969,.0000121,-3.52e-09
799,.0089355,-.0004519,.000023,-5.09e-09
800,.010742,-.0005203,.0000147,-5.11e-09
801,.0108567,-.0003709,9.13e-07,-1.98e-09
802,.018788,-.0006231,.000025,-6.37e-09
803,.0057002,-.0001135,.0000211,-5.19e-09
804,.0190069,-.0005736,.0000405,-9.73e-09
805,.013195,-.0004775,.0000245,-6.16e-09
806,.0130428,-.0005583,-2.49e-06,-7.13e-10
807,.0162624,-.0005536,6.87e-07,-8.72e-10
808,.0109084,-.0003115,.0000266,-8.14e-09
809,.0105062,-.000436,-1.24e-06,-7.63e-10
810,.0113872,-.0005508,.0000145,-4.71e-09
811,.0118493,-.0004421,3.67e-06,-1.12e-09
812,.0083805,-.0003983,.0000262,-9.11e-09
813,.0063206,-.0003663,.0000256,-7.09e-09
814,.013153,-.0005236,.0000141,-3.30e-09
815,.0083249,-.0003693,8.13e-06,-1.54e-09
816,.0192632,-.0006341,.0000254,-7.48e-09
817,.0130866,-.0005622,.00001,-4.15e-09
818,.0123627,-.0004741,.0000201,-3.88e-09
819,.0109358,-.0005209,.0000197,-6.06e-09
820,.0079237,-.0003745,.0000284,-9.05e-09
821,.012103,-.0003905,.0000103,-3.38e-09
822,.0088792,-.0003667,.00002,-5.32e-09
823,.0111656,-.0004699,8.57e-06,-4.27e-09
824,.0169551,-.0005656,.0000171,-6.85e-09
825,.0118596,-.000349,8.17e-06,-4.10e-09
826,.0173872,-.0006939,3.22e-06,-1.46e-09
827,.0132059,-.000518,-5.55e-06,9.78e-10
828,.0155776,-.0005541,.0000401,-1.21e-08
829,.0196708,-.0006594,.0000181,-6.83e-09
830,.0135567,-.0006263,.0000142,-5.64e-09
831,.0078768,-.0003206,.0000238,-4.91e-09
832,.0165556,-.0006291,.0000133,-6.18e-09
833,.0125255,-.0005424,.0000202,-6.07e-09
834,.0123165,-.00047,.0000115,-3.56e-09
835,.0143634,-.000601,.0000239,-6.24e-09
836,.0162855,-.0005312,.0000114,-4.25e-09
837,.0152514,-.0006875,.000017,-5.12e-09
838,.0235454,-.0007388,-9.46e-06,9.75e-10
839,.007639,-.0003445,.0000117,-2.65e-09
840,.0114119,-.0005216,.0000324,-7.42e-09
841,.0061819,-.0002407,.0000156,-5.21e-09
842,.0098196,-.0003096,-4.49e-06,-7.78e-10
843,.0075112,-.0003418,.0000126,-3.91e-09
844,.0184982,-.0006255,.0000258,-6.36e-09
845,.0157792,-.0005865,7.42e-06,-2.41e-09
846,.0169961,-.000639,.0000165,-6.47e-09
847,.0187457,-.0005809,.0000172,-8.22e-09
